specimen_id,per_i,per_h,per_r,species,notes
062723-MOHK-018-H,70,47.725,60.33,EGME,
062723-MOHK-018-I,70,54.472,76.935,EGME,
062723-MOHK-012-J,59.882,57.118,62.701,EGME,
062723-MOHK-012-H,49.527,47.413,49.524,EGME,
062723-MOHK-012-G,36.015,31.311,36.159,EGME,
062723-MOHK-018-F,44.431,42.174,44.209,EGME,
071123-NAPL-023-A,46.803,42.815,46.297,CC,
071123-NAPL-022-A,19.448,17.191,19.075,CC,
062723-MOHK-007-H,86.09,81.764,86.748,EGME,
062723-MOHK-007-I,27.135,24.231,26.51,EGME,
062723-MOHK-007-J,38.751,37.128,39.57,EGME,
062723-MOHK-012-F,18.644,16.897,18.257,EGME,
062723-MOHK-012-I,31.494,28.843,30.816,EGME,
062723-MOHK-018-G,20.85,16.224,17.795,EGME,
062723-MOHK-018-J,31.494,28.843,30.816,EGME,
062723-MOHK-001-F,51.674,46.986,50.87,EGME,
062723-MOHK-001-G,17.958,16.224,17.795,EGME,
062723-MOHK-001-H,63.966,59.279,63.367,EGME,
062723-MOHK-001-I,39.718,37.462,39.745,EGME,
062723-MOHK-004-F,24.542,22.883,24.377,EGME,
062723-MOHK-004-G,62.259,56.946,69.358,EGME,
062723-MOHK-004-H,73.429,68.361,64.346,EGME,
062723-MOHK-004-I,23.613,22.267,23.476,EGME,
062723-MOHK-004-J,47.438,44.652,46.866,EGME,
062723-MOHK-007-F,63.614,55.843,66.366,EGME,
062723-MOHK-007-G,55.402,49.137,55.494,EGME,
071123-NAPL-022-B,69.2,57.558,66.334,CC,
071123-NAPL-023-B,53.084,46.09,49.611,CC,
071123-NAPL-023-C,74.089,59.762,72.892,CC,
071123-NAPL-024-D,85.417,73.779,83.653,CC,
071123-NAPL-024-E,105.333,83.385,98.854,CC,
071123-NAPL-024-Z,23.406,20.041,23.434,CC,
071123-NAPL-024-A,99.447,78.673,98.283,CC,
071123-NAPL-024-B,58.921,45.026,57.681,CC,
071123-NAPL-024-C,62.687,57.653,58.531,CC,
071123-NAPL-025-A,54.507,44.622,56.858,CC,
071123-NAPL-025-B,55.924,44.623,57.07,CC,
071123-NAPL-025-C,61.275,50.362,59.758,CC,
071123-NAPL-026-A,82.029,70.33,83.021,CC,
071123-NAPL-026-B,199.003,151.948,197.073,CC,
071123-NAPL-026-C,89.744,62.455,85.331,CC,
071123-NAPL-026-D,45.552,36.161,46.862,CC,
073123-CARP-010-A,221.343,109.766,211.143,DP,
073123-CARP-010-B,285.572,160.246,265.622,DP,
073123-CARP-010-C,127.451,99.35,121.17,DP,
073123-CARP-011-A,209.392,180.748,216.665,DP,
073123-CARP-011-B,208.984,164,202.039,DP,
073123-CARP-011-C,292.004,254.171,318.795,DP,
073123-CARP-001-A,87.962,67.976,87.709,DP,
073123-CARP-001-B,44,39.816,44.431,DP,
073123-CARP-001-C,68.581,36.818,61.199,DP,
073123-CARP-002-A,221.942,147.59,167.013,DP,
073123-CARP-002-B,120.437,93.769,120.295,DP,
073123-CARP-002-C,283.934,197.859,223.346,DP,
073123-CARP-003-A,52.503,34.032,53.459,DP,
073123-CARP-003-B,157.32,105.849,150.087,DP,
073123-CARP-003-C,170.041,79.561,98.787,DP,
073123-CARP-004-A,214.997,146.877,149.374,DP,
073123-CARP-005-A,32.054,28.372,32.743,GR,
073123-CARP-005-B,47.392,40.743,46.798,GR,
073123-CARP-005-C,155.939,113.669,158.64,GR,
073123-CARP-006-A,47.175,41.24,46.169,GR,
073123-CARP-006-B,104.946,69.246,90.316,GR,
073123-CARP-007-A,133.931,97.079,131.521,GR,
073123-CARP-008-A,275.923,231.578,273.656,GR,
073123-CARP-009-A,99.878,81.816,89.971,GR,
