specimen_id,width_i,width_h,width_r,species,notes
062723-MOHK-018-H,3.8,3,3.5,EGME,
062723-MOHK-018-I,3.4,2.9,3.4,EGME,
062723-MOHK-012-J,3.3,3,3.3,EGME,
062723-MOHK-012-H,3.2,2.7,3,EGME,
062723-MOHK-012-G,3.2,2.6,2.9,EGME,
062723-MOHK-018-F,3.3,3,3.3,EGME,
071123-NAPL-023-A,7.1,6.8,7.2,CC,
071123-NAPL-022-A,9.6,8.5,9.7,CC,
062723-MOHK-007-H,3.1,2.7,3.25,EGME,
062723-MOHK-007-I,2.1,1.6,2,EGME,
062723-MOHK-007-J,3.8,3.1,3.6,EGME,
062723-MOHK-012-F,2.5,2,2.4,EGME,
062723-MOHK-012-I,2.9,2.5,2.8,EGME,
062723-MOHK-018-G,1.8,1.4,1.6,EGME,
062723-MOHK-018-J,3.3,3,3.3,EGME,
062723-MOHK-001-F,1.767,1.268,1.759,EGME,
062723-MOHK-001-G,2.1,1.6,1.8,EGME,
062723-MOHK-001-H,3.9,3.2,3.6,EGME,
062723-MOHK-001-I,2.5,2.4,2.6,EGME,
062723-MOHK-004-F,4.6,4.4,4.7,EGME,
062723-MOHK-004-G,2.9,2.6,2.7,EGME,
062723-MOHK-004-H,2.7,2.4,2.6,EGME,
062723-MOHK-004-I,3.5,3.3,3.5,EGME,
062723-MOHK-004-J,4.5,4.2,5,EGME,
062723-MOHK-007-F,2.7,1.9,2.2,EGME,
062723-MOHK-007-G,3.4,3,3.4,EGME,
071123-NAPL-022-B,8.6,6.9,8.6,CC,
071123-NAPL-023-B,6.9,5.6,7,CC,
071123-NAPL-023-C,6.2,4.9,6.3,CC,
071123-NAPL-024-D,7.42,6.65,7.4,CC,
071123-NAPL-024-E,4.76,3.34,4.7,CC,
071123-NAPL-024-Z,3.53,2.57,3.54,CC,
071123-NAPL-024-A,15.83,11.85,16.4,CC,
071123-NAPL-024-B,9.82,7.02,10,CC,
071123-NAPL-024-C,8.77,6.07,7.63,CC,
071123-NAPL-025-A,9.8,7.7,10.2,CC,
071123-NAPL-025-B,10.3,7.8,10,CC,
071123-NAPL-025-C,8,6.3,8.1,CC,
071123-NAPL-026-A,14.9,11.2,14.9,CC,
071123-NAPL-026-B,24.5,18.2,24,CC,
071123-NAPL-026-C,14.31,10.6,14.5,CC,
071123-NAPL-026-D,4.6,3.2,4.4,CC,
072523-BULL-013-A,0.939,0.637,0.91,DL,
072523-BULL-013-B,1.233,1.009,1.207,DL,
072523-BULL-013-C,1.3,0.817,1.348,DL,
073123-CARP-010-A,2.171,1.5,2.119,DP,
073123-CARP-010-B,2.34,1.7,2.4,DP,
073123-CARP-010-C,1.8,0.9,1.179,DP,
073123-CARP-011-A,1.7,1.43,1.69,DP,
073123-CARP-011-B,1.81,1.18,1.91,DP,
073123-CARP-011-C,1.83,1.313,1.64,DP,
073123-CARP-001-A,1.4,1.12,1.42,DP,
073123-CARP-001-B,1.45,1,1.43,DP,
073123-CARP-001-C,1.61,1.19,1.43,DP,
073123-CARP-002-A,2.6,2.37,2.59,DP,
073123-CARP-002-B,2.7,2.48,2.61,DP,
073123-CARP-002-C,1.66,1.25,1.53,DP,
073123-CARP-003-A,2.33,1.96,2.23,DP,
073123-CARP-003-B,1.62,1.11,1.56,DP,
073123-CARP-003-C,2.15,1.6,2.3,DP,
073123-CARP-004-A,1.25,1,1.15,DP,
073123-CARP-004-B,1.97,1.12,2.12,DP,
073123-CARP-005-A,1.94,1.76,1.96,GR,
073123-CARP-005-B,3.32,2.79,3.01,GR,
073123-CARP-005-C,1.98,1.49,1.96,GR,
073123-CARP-006-A,3.33,2.63,3.18,GR,
073123-CARP-006-B,3.24,2.33,3.01,GR,
073123-CARP-007-A,1.09,0.58,0.97,GR,
073123-CARP-008-A,1.91,1.75,1.93,GR,
073123-CARP-009-A,1.42,1.34,1.43,GR,
080723-MOHK-10-A,2.9,1.8,2.1,CYOS,
080723-MOHK-010-B,8.1,6.6,8.1,CYOS,
080723-MOHK-010-C,10.4,8.9,10,CYOS,
080723-MOHK-011-A,5.5,4.8,5.5,CYOS,
080723-MOHK-011-B,2.9,2.7,3.2,CYOS,
080723-MOHK-011-C,3.5,2.2,3.4,CYOS,
080723-MOHK-012-A,5.6,4.5,5.1,CYOS,
080723-MOHK-012-B,7,6.9,7.2,CYOS,
080723-MOHK-012-C,8.2,5.9,8.1,CYOS,
080723-MOHK-013-A,7.5,6.2,8.1,R,
080723-MOHK-013-B,3.7,3,3.9,R,
080723-MOHK-016-A,4,3.3,3.8,R,
080723-MOHK-016-B,2.7,2.5,2.7,R,
080723-MOHK-015-A,7.113,6.967,7.512,R,
080723-MOHK-015-B,1.534,1.171,1.513,R,
080723-MOHK-015-C,15.904,13.867,15.955,R,
080723-MOHK-014-A,3.68,3.333,3.652,R,
080723-MOHK-014-B,0.936,0.732,1.02,R,
080723-MOHK-014-C,1.591,1.192,1.575,R,
080723-MOHK-022-A,1.74,1.5,1.63,R,
080723-MOHK-022-B,1.72,1.25,1.74,R,
080723-MOHK-022-C,2.83,2.23,2.55,R,
080723-MOHK-021-A,1.18,1.17,1.18,CO,
080723-MOHK-021-B,3.6,3.4,3.6,CO,
080723-MOHK-021-C,3.7,3,3.8,CO,
080723-MOHK-020-A,6,5.9,6,CO,
080723-MOHK-020-B,3,2.5,2.8,CO,
080723-MOHK-020-C,3,1.9,3,CO,
080723-MOHK-019-A,4.667,4.267,4.353,CO,
080723-MOHK-019-B,2.9,2.2,2.9,CO,
080723-MOHK-019-C,5,4.9,4.9,CO,
080723-MOHK-018-A,4.2,4.1,4,CO,
080723-MOHK-018-B,4,4,4,CO,
080723-MOHK-018-C,3.8,3.9,4,CO,
080723-MOHK-017-A,3.6,3.6,3.5,CO,
080723-MOHK-017-B,4.2,3.9,3.8,CO,
080723-MOHK-017-C,4.1,4,3.9,CO,
080723-MOHK-001-A,5.2,3.38,5.2,DP,
080723-MOHK-001-B,3.51,2.63,3.58,DP,
080723-MOHK-001-C,1.78,1.05,1.76,DP,
