specimen_id,thickness_mm_h_1,thickness_mm_h_2,thickness_mm_h_3,thickness_mm_h_4,thickness_mm_h_5,thickness_mm_h_6,thickness_mm_h_7,thickness_mm_h_8,thickness_mm_h_9,thickness_mm_h_10,,
062723-MOHK-018-H,0.017,0.021,0.021,0.017,0.018,0.023,0.024,0.11,0.03,0.018,,
062723-MOHK-018-I,0.033,0.049,0.186,0.035,0.028,0.051,0.03,0.03,0.03,0.03,,
062723-MOHK-012-J,0.059,0.053,0.059,0.05,0.053,0.046,0.047,0.046,0.05,0.053,,
062723-MOHK-012-H,0.044,0.064,0.038,0.045,0.042,0.055,0.051,0.034,0.031,0.035,,
062723-MOHK-012-G,0.044,0.047,0.046,0.042,0.045,0.045,0.044,0.047,0.047,0.046,,
062723-MOHK-018-F,0.014,0.015,0.014,0.022,0.016,0.011,0.03,0.015,0.015,0.015,,
071123-NAPL-023-A,0.04,0.066,0.11,0.063,0.114,0.133,0.91,0.12,0.12,0.088,,
071123-NAPL-022-A,0.223,0.347,0.098,0.088,0.165,0.1,0.074,0.108,0.109,0.106,,
062723-MOHK-007-H,0.027,0.036,0.081,0.032,0.032,0.058,0.03,0.04,0.045,0.058,,
062723-MOHK-007-I,0.088,0.032,0.026,0.027,0.039,0.042,0.04,0.032,0.035,0.04,,
062723-MOHK-007-J,0.029,0.023,0.024,0.03,0.019,0.023,0.024,0.027,0.029,0.07,,
062723-MOHK-012-F,0.075,0.075,0.096,0.085,0.11,0.1,0.177,0.067,0.057,0.081,,
062723-MOHK-012-I,0.072,0.068,0.059,0.053,0.053,0.054,0.074,0.047,0.038,0.035,,
062723-MOHK-018-G,0.066,0.072,0.046,0.038,0.041,0.058,0.039,0.04,0.04,0.062,,
062723-MOHK-018-J,0.032,0.041,0.036,0.037,0.028,0.02,0.028,0.027,0.025,0.024,,
062723-MOHK-001-F,0.035,0.035,0.049,0.039,0.045,0.036,0.039,0.053,0.037,0.03,,
062723-MOHK-001-G,0.038,0.046,0.023,0.03,0.011,0.011,0.019,0.026,0.041,0.041,,
062723-MOHK-001-H,0.068,0.051,0.029,0.032,0.028,0.027,0.022,0.048,0.026,0.029,,
062723-MOHK-001-I,0.051,0.082,0.03,0.024,0.018,0.019,0.045,0.057,0.047,0.055,,
062723-MOHK-004-F,0.081,0.035,0.036,0.035,0.04,0.046,0.043,0.049,0.055,0.065,,
062723-MOHK-004-G,0.044,0.035,0.032,0.029,0.034,0.029,0.042,0.028,0.029,0.027,,
