specimen_id,thickness_mm_r_1,thickness_mm_r_2,thickness_mm_r_3,thickness_mm_r_4,thickness_mm_r_5,thickness_mm_r_6,thickness_mm_r_7,thickness_mm_r_8,thickness_mm_r_9,thickness_mm_r_10
062723-MOHK-018-H,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0
062723-MOHK-018-I,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
062723-MOHK-012-J,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
062723-MOHK-012-H,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
062723-MOHK-012-G,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.4
062723-MOHK-018-F,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1
071123-NAPL-023-A,0.3,0.5,0.3,0.2,0.2,0.2,0.7,0.6,0.8,0.3
071123-NAPL-022-A,0.4,0.4,0.4,0.5,0.6,0.47,0.5,0.5,0.5,0.4
062723-MOHK-007-H,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
062723-MOHK-007-I,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
062723-MOHK-007-J,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
062723-MOHK-012-F,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2
062723-MOHK-012-I,0.3,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1
062723-MOHK-018-G,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
062723-MOHK-018-J,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
062723-MOHK-001-F,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
062723-MOHK-001-G,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
062723-MOHK-001-H,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
062723-MOHK-001-I,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
062723-MOHK-004-F,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
062723-MOHK-004-G,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
062723-MOHK-004-H,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
062723-MOHK-004-I,0.2,0.1,0.1,0.3,0.1,0.2,0.2,0.2,0.2,0.2
062723-MOHK-004-J,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0,0
062723-MOHK-007-F,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
062723-MOHK-007-G,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
071123-NAPL-022-B,0.6,0.4,0.6,0.4,0.3,0.2,0.3,0.3,0.2,0.2
071123-NAPL-023-B,0.4,0.5,0.4,0.3,0.3,0.1,0.3,0.4,0.3,0.2
071123-NAPL-023-C,0.1,0.2,0.3,0.3,0.4,0.3,0.2,0.3,0.2,0.2
071123-NAPL-024-D,0.7,0.7,0.5,0.3,0.3,0.4,0.1,0.2,0.2,0.2
071123-NAPL-024-E,0.8,0.5,0.7,0.7,0.2,0.4,0.1,0.2,0.3,0.2
071123-NAPL-024-Z,0.7,0.9,0.7,0.2,0.4,0.3,0.2,0.7,0.6,1
071123-NAPL-024-A,0.4,0.4,0.6,0.4,0.3,0.3,0.4,0.6,0.4,0.3
071123-NAPL-024-B,0.6,0.5,1,0.3,0.3,0.7,0.8,0.3,0.3,0.5
071123-NAPL-024-C,0.4,0.8,0.6,0.5,0.3,0.5,0.7,0.6,0.7,1.1
071123-NAPL-025-A,0.7,0.5,0.7,0.3,0.1,0.2,0.4,0.4,0.6,0.7
071123-NAPL-025-B,0.5,0.4,0.3,0.1,0.2,0.3,0.4,0.4,0.4,0.5
071123-NAPL-025-C,0.6,0.5,0.4,0.4,0.3,0.2,0.3,0.4,0.3,0.6
071123-NAPL-026-A,0.7,0.9,1,1.1,0.6,1,0.3,0.3,0.4,0.4
071123-NAPL-026-B,0.5,0.3,0.7,0.4,0.7,0.8,0.8,0.7,0.8,0.8
071123-NAPL-026-C,0.5,0.5,0.8,0.8,0.5,0.6,0.6,0.4,0.4,0.5
071123-NAPL-026-D,0.5,0.3,0.3,0.4,0.5,0.1,0.3,0.4,0.7,0.5
