specimen_id,vol_i,vol_h,vol_r,species,notes
062723-MOHK-018-H,1.2,0.6,1.3,EGME,
062723-MOHK-018-I,1.1,0.4,1.2,EGME,
062723-MOHK-012-J,2,1,0.9,EGME,
062723-MOHK-012-H,1,0.3,0.7,EGME,
062723-MOHK-012-G,1,0.2,0.6,EGME,
062723-MOHK-018-F,1,0.3,1,EGME,
071123-NAPL-023-A,3,1,3,CC,
071123-NAPL-022-A,4,1,3,CC,
062723-MOHK-007-H,2,0.3,2,EGME,
062723-MOHK-007-I,0.4,0.1,1,EGME,
062723-MOHK-007-J,2.3,0.6,1.4,EGME,
062723-MOHK-012-F,0.8,0.5,0.4,EGME,
062723-MOHK-012-I,1,1.2,0.9,EGME,
062723-MOHK-018-G,0.2,0.1,0.2,EGME,
062723-MOHK-018-J,0.9,0.1,0.3,EGME,
062723-MOHK-001-F,0.3,0.1,0.1,EGME,
062723-MOHK-001-G,0.1,0.1,0.1,EGME,
062723-MOHK-001-H,0.5,0.4,0.7,EGME,
062723-MOHK-001-I,0.4,0.1,0.1,EGME,
062723-MOHK-004-F,2.1,0.5,2.2,EGME,
062723-MOHK-004-G,0.8,0.1,0.4,EGME,
062723-MOHK-004-H,0.5,0.1,0.3,EGME,
062723-MOHK-004-I,0.8,0.4,0.5,EGME,
062723-MOHK-004-J,2,0.4,1,EGME,
062723-MOHK-007-F,0.5,0.1,0.3,EGME,
062723-MOHK-007-G,1.4,0.6,0.9,EGME,
071123-NAPL-022-B,6,1,5,CC,
071123-NAPL-023-B,3,1,2,CC,
071123-NAPL-023-C,3,1,3,CC,
071123-NAPL-024-D,12,4,9,CC,
071123-NAPL-024-E,8,2,6,CC,
071123-NAPL-024-Z,10,3,6,CC,
071123-NAPL-024-A,14,3,14,CC,
071123-NAPL-024-B,16,4,19,CC,
071123-NAPL-024-C,4,1,4,CC,
071123-NAPL-025-A,8,1,6,CC,
071123-NAPL-025-B,6,1,7,CC,
071123-NAPL-025-C,6,1,5,CC,
071123-NAPL-026-A,28,5,28,CC,
071123-NAPL-026-B,26,5,26,CC,
071123-NAPL-026-C,8,1,8,CC,
071123-NAPL-026-D,6,2,5,CC,
072523-BULL-013-A,4,2,2,DL,
072523-BULL-013-B,5,1,2,DL,
072523-BULL-013-C,4,1,3,DL,
073123-CARP-010-A,4,0.7,0.8,DP,
073123-CARP-010-B,14,1.5,3,DP,
073123-CARP-010-C,1,0.3,0.2,DP,
073123-CARP-011-A,4,1,4,DP,
073123-CARP-011-B,2,1,1,DP,
073123-CARP-011-C,9,2,4,DP,
073123-CARP-001-A,0.2,0.3,0.5,DP,
073123-CARP-001-B,0.7,0.1,0.1,DP,
073123-CARP-001-C,0.3,0.3,0.2,DP,
073123-CARP-002-A,4,1,1,DP,
073123-CARP-002-B,8,3,4,DP,
073123-CARP-002-C,10,2,4,DP,
073123-CARP-003-A,9,2,4,DP,
073123-CARP-003-B,10,2,4,DP,
073123-CARP-003-C,5,1,2,DP,
073123-CARP-004-A,4,1,1,DP,
073123-CARP-004-B,9,1,4,DP,
073123-CARP-005-A,7,4,7,GR,
073123-CARP-005-B,6,6,7,GR,
073123-CARP-005-C,4,3,3,GR,
073123-CARP-006-A,6,2,6,GR,
073123-CARP-006-B,12,4,9,GR,
073123-CARP-007-A,24,8,18,GR,
073123-CARP-008-A,18,8,14,GR,
073123-CARP-009-A,8,4,7,GR,
080723-MOHK-010-A,1,0.5,0.3,CYOS,
080723-MOHK-010-B,5,1,1.5,CYOS,
080723-MOHK-010-C,6,2,2,CYOS,
080723-MOHK-011-A,3,0.7,1,CYOS,
080723-MOHK-011-B,4,1,2,CYOS,
080723-MOHK-011-C,9,1.5,4,CYOS,
080723-MOHK-012-A,4,0.8,2,CYOS,
080723-MOHK-012-B,4,1,1,CYOS,
080723-MOHK-012-C,9,2,4,CYOS,
080723-MOHK-013-A,1,0.2,0.5,R,
080723-MOHK-013-B,1,0.2,0.4,R,
080723-MOHK-016-A,1,0.1,0.3,R,
080723-MOHK-016-B,0.5,0.1,0.1,R,
080723-MOHK-015-A,4,1,3,R,
080723-MOHK-015-B,4.5,1,2,R,
080723-MOHK-015-C,3,1,2,R,
080723-MOHK-014-A,1,0.2,0.3,R,
080723-MOHK-014-B,1,0.7,0.4,R,
080723-MOHK-014-C,1,0.3,0.5,R,
080723-MOHK-022-A,6,1.4,5,R,
080723-MOHK-022-B,2,1,2,R,
080723-MOHK-022-C,2,1,2,R,
080723-MOHK-021-A,0.3,0.1,0.2,CO,
080723-MOHK-021-B,0.6,1,0.8,CO,
080723-MOHK-021-C,0.6,1,0.6,CO,
080723-MOHK-020-A,2.1,2,2,CO,
080723-MOHK-020-B,1.4,1.2,2,CO,
080723-MOHK-020-C,0.5,0.5,1,CO,
080723-MOHK-019-A,0.4,0.3,0.2,CO,
080723-MOHK-019-B,0.2,0.1,0.1,CO,
080723-MOHK-019-C,0.5,0.4,0.4,CO,
080723-MOHK-018-A,0.6,0.5,0.6,CO,
080723-MOHK-018-B,0.7,0.5,0.6,CO,
080723-MOHK-018-C,0.3,0.3,0.2,CO,
080723-MOHK-017-A,0.2,0.2,0.3,CO,
080723-MOHK-017-B,0.2,0.1,0.2,CO,
080723-MOHK-017-C,0.4,0.3,0.3,CO,
080723-MOHK-001-A,1,0.2,0.4,DP,
080723-MOHK-001-B,4,1,1.5,DP,
080723-MOHK-001-C,5,1,4,DP,
080723-MOHK-002-A,1,1,0.4,CO,
080723-MOHK-002-B,1,0.5,0.3,CO,
080723-MOHK-002-C,1,0.1,0.1,CO,
080723-MOHK-003-A,6,1,2,DP,
080723-MOHK-003-B,8,1,2,DP,
080723-MOHK-003-C,6,1,2,DP,
080723-MOHK-004-A,1,0.1,0.5,DP,
080723-MOHK-004-B,2,0.2,0.5,DP,
080723-MOHK-004-C,1,0.2,0.5,DP,
080723-MOHK-005-A,0.5,0.1,0.1,DP,
080723-MOHK-005-B,2,0.3,0.4,DP,
080723-MOHK-005-C,4,1,1,DP,
080723-MOHK-006-A,4,1,1,DP,
080723-MOHK-006-B,5,1,1,DP,
080723-MOHK-006-C,1,0.1,2,DP,
080723-MOHK-007-A,3,0.8,2,DP,
080723-MOHK-007-B,5,0.8,1,DP,
080723-MOHK-007-C,4,1,3,DP,
080723-MOHK-008-A,4,1,1,CYOS,
080723-MOHK-008-B,5,1,3,CYOS,
080723-MOHK-008-C,6,1,2,CYOS,
080723-MOHK-009-A,6,1,1,CYOS,
080723-MOHK-009-B,4,1,2,CYOS,
080723-MOHK-009-C,5,1,1,CYOS,
072523-BULL-004-A,1,0.2,0.3,NAND,
072523-BULL-004-B,1,0.7,0.3,NAND,
072523-BULL-004-C,2,0.3,1,NAND,
072523-BULL-005-A,29.4,6.5,28,BF,
072523-BULL-005-B,21.4,2,18,BF,
072523-BULL-005-C,3,1,3,BF,
072523-BULL-006-A,1,0.4,0.7,POLA,
072523-BULL-006-B,2,0.7,1.6,POLA,
072523-BULL-006-C,4,0.6,2,POLA,
072523-BULL-006-D,4,0.2,3,POLA,
072523-BULL-007-A,1,1,5,BF,
072523-BULL-007-B,10,2,6,BF,
072523-BULL-007-C,3,0.6,3,BF,
072523-BULL-008-A,14,1.4,6,BF,
072523-BULL-008-B,13,2,10,BF,
072523-BULL-008-C,1,0.3,1,BF,
072523-BULL-009-A,2,1,1,BF,
072523-BULL-009-B,24,4,14,BF,
072523-BULL-009-C,49,6,26,BF,
072523-BULL-010-A,4,1,1.9,NAND,
072523-BULL-010-B,3.8,0.4,1.5,NAND,
072523-BULL-010-C,1,0.4,0.6,NAND,
072523-BULL-011-A,9,3,4,BF,
072523-BULL-011-B,3,1.5,2,BF,
072523-BULL-011-C,11.8,1,3,BF,
072523-BULL-012-A,3,0.6,2,BF,
072523-BULL-012-B,9,1,2,BF,
072523-BULL-012-C,23,3,10,BF,
072523-BULL-001-A,NA,NA,NA,POLA,too fragile to handle
072523-BULL-002-A,NA,NA,NA,NAND,too fragile to handle
072523-BULL-002-B,NA,NA,NA,NAND,too fragile to handle
072523-BULL-002-C,NA,NA,NA,NAND,too fragile to handle
072523-BULL-003-A,NA,NA,NA,POLA,too fragile to handle
072523-BULL-014-B,NA,NA,NA,DL,too fragile to handle
072523-BULL-014-C,NA,NA,NA,DL,too fragile to handle
072523-BULL-015-A,NA,NA,NA,DL,too fragile to handle
072523-BULL-015-B,NA,NA,NA,DL,too fragile to handle
072523-BULL-015-C,NA,NA,NA,DL,too fragile to handle
072523-BULL-016-A,NA,NA,NA,DL,too fragile to handle
072523-BULL-016-B,NA,NA,NA,DL,too fragile to handle
072523-BULL-016-C,NA,NA,NA,DL,too fragile to handle
