specimen_id,weight_g_i,weight_g_h,weight_g_r,species,notes
062723-MOHK-001-F,269,27,112,EGME,
062723-MOHK-001-G,254,33,120,EGME,
062723-MOHK-001-H,1717,200,722,EGME,
062723-MOHK-001-I,395,46,169,EGME,
062723-MOHK-004-F,2344,311,1442,EGME,
062723-MOHK-004-G,831,77,397,EGME,
062723-MOHK-004-H,548,185,349,EGME,
062723-MOHK-004-I,1491,199,880,EGME,
062723-MOHK-004-J,1752,199,860,EGME,
062723-MOHK-007-F,461,70,300,EGME,
062723-MOHK-007-G,1478,210,919,EGME,
062723-MOHK-007-H,1279,228,945,EGME,
062723-MOHK-007-I,366,62,201,EGME,
062723-MOHK-007-J,2348,352,1524,EGME,
062723-MOHK-012-F,691,98,391,EGME,
062723-MOHK-012-G,980,137,611,EGME,
062723-MOHK-012-H,1443,174,715,EGME,
062723-MOHK-012-I,1045,141,705,EGME,
062723-MOHK-012-J,2116,265,1007,EGME,
062723-MOHK-018-F,1174,124,769,EGME,
062723-MOHK-018-G,228,31,143,EGME,
062723-MOHK-018-H,1590,174,1222,EGME,
062723-MOHK-018-I,1555,167,1148,EGME,
062723-MOHK-018-J,600,65,329,EGME,
071123-NAPL-022-A,4285,973,3808,CC,
071123-NAPL-022-B,5562,1154,5044,CC,
071123-NAPL-023-A,3533,738,3075,CC,
071123-NAPL-023-B,2832,551,2396,CC,
071123-NAPL-023-C,3896,744,3358,CC,
071123-NAPL-024-A,14378,2896,14219,CC,
071123-NAPL-024-B,17406,4004,19439,CC,
071123-NAPL-024-C,3933,922,3878,CC,
071123-NAPL-024-D,14228,3290,9321,CC,
071123-NAPL-024-E,9235,2280,6736,CC,
071123-NAPL-024-Z,10679,2558,7001,CC,
071123-NAPL-025-A,7536,1508,6858,CC,
071123-NAPL-025-B,8371,1653,7595,CC,
071123-NAPL-025-C,5423,1041,4912,CC,
071123-NAPL-026-A,30879,6646,29039,CC,
071123-NAPL-026-B,27419,5661,26540,CC,
071123-NAPL-026-C,8656,1851,8000,CC,
071123-NAPL-026-D,6693,1366,5347,CC,
072523-BULL-001-A,NA,NA,NA,POLA,too fragile to handle
072523-BULL-002-A,NA,NA,NA,NAND,too fragile to handle
072523-BULL-002-B,NA,NA,NA,NAND,too fragile to handle
072523-BULL-002-C,NA,NA,NA,NAND,too fragile to handle
072523-BULL-003-A,NA,NA,NA,POLA,too fragile to handle
072523-BULL-004-A,872,155,619,NAND,
072523-BULL-004-B,3063,422,2023,NAND,
072523-BULL-004-C,1853,305,1211,NAND,
072523-BULL-005-A,45644,4113,20804,BF,
072523-BULL-005-B,18141,2511,12612,BF,
072523-BULL-005-C,3770,641,2891,BF,
072523-BULL-006-A,631,75,399,POLA,
072523-BULL-006-B,2368,297,1810,POLA,
072523-BULL-006-C,2354,321,2276,POLA,
072523-BULL-006-D,4714,605,2952,POLA,
072523-BULL-007-A,6549,1219,5476,BF,
072523-BULL-007-B,8831,1672,7216,BF,
072523-BULL-007-C,2770,382,2093,BF,
072523-BULL-008-A,8218,777,4922,BF,
072523-BULL-008-B,12487,1309,8158,BF,
072523-BULL-008-C,772,74,328,BF,
072523-BULL-009-A,1607,321,1059,BF,
072523-BULL-009-B,19349,3247,12072,BF,
