specimen_id,thick_i,thick_h,thick_r,species
062723-MOHK-018-H,0.13,0.0299,0.08,EGME
062723-MOHK-018-I,0.18,0.0502,0.1,EGME
062723-MOHK-012-J,0.21,0.0516,0.13,EGME
062723-MOHK-012-H,0.21,0.0439,0.13,EGME
062723-MOHK-012-G,0.25,0.0453,0.19,EGME
062723-MOHK-018-F,0.14,0.0167,0.12,EGME
071123-NAPL-023-A,0.45,0.1764,0.41,CC
071123-NAPL-022-A,0.64,0.1418,0.467,CC
062723-MOHK-007-H,0.18,0.0439,0.17,EGME
062723-MOHK-007-I,0.2,0.0401,0.15,EGME
062723-MOHK-007-J,0.205,0.0298,0.15,EGME
062723-MOHK-012-F,0.23,0.0923,0.14,EGME
062723-MOHK-012-I,0.2,0.0553,0.15,EGME
062723-MOHK-018-G,0.15,0.0502,0.13,EGME
062723-MOHK-018-J,0.12,0.0298,0.1,EGME
062723-MOHK-001-F,0.13,0.0398,0.1,EGME
062723-MOHK-001-G,0.13,0.0286,0.1,EGME
062723-MOHK-001-H,0.2,0.036,0.11,EGME
062723-MOHK-001-I,0.17,0.0428,0.1,EGME
062723-MOHK-004-F,0.19,0.0485,0.14,EGME
062723-MOHK-004-G,0.14,0.0329,0.08,EGME
062723-MOHK-004-H,0.17,0.0381,0.16,EGME
062723-MOHK-004-I,0.17,0.048,0.18,EGME
062723-MOHK-004-J,0.16,0.0359,0.11,EGME
062723-MOHK-007-F,0.19,0.0478,0.15,EGME
062723-MOHK-007-G,0.19,0.0424,0.16,EGME
071123-NAPL-022-B,0.42,0.18,0.35,CC
071123-NAPL-023-B,0.38,0.17,0.32,CC
071123-NAPL-023-CDE,0.36,0.14,0.25,CC
071123-NAPL-024-D,0.46,0.18,0.36,CC
071123-NAPL-024-E,0.44,0.16,0.41,CC
071123-NAPL-024-Z,0.51,0.78,0.57,CC
071123-NAPL-024-A,0.26,0.22,0.41,CC
071123-NAPL-024-B,0.45,0.23,0.53,CC
071123-NAPL-024-C,0.67,0.23,0.62,CC
071123-NAPL-025-A,0.38,0.14,0.46,CC
071123-NAPL-025-B,0.34,0.15,0.35,CC
071123-NAPL-025-C,0.36,0.15,0.4,CC
071123-NAPL-026-A,0.47,0.27,0.67,CC
071123-NAPL-026-B,0.77,0.31,0.65,CC
071123-NAPL-026-C,0.58,0.24,0.56,CC
071123-NAPL-026-D,0.46,0.14,0.4,CC
072523-BULL-013-A,0.17,0.109625,0.1184,DL
072523-BULL-013-B,0.17,0.136,0.1921,DL
072523-BULL-013-C,0.17,0.1411,0.1849,DL
073123-CARP-010-A,0.2,0.13,0.12,DP
073123-CARP-010-B,0.17,0.1319,0.14,DP
073123-CARP-010-C,0.27,0.1069,0.11,DP
073123-CARP-011-A,0.17,0.1312,0.21,DP
073123-CARP-011-B,0.18,0.1166,0.16,DP
073123-CARP-011-C,0.18,0.1235,0.17,DP
073123-CARP-001-A,0.27,0.1014,0.14,DP
073123-CARP-001-B,0.26,0.0914,0.14,DP
073123-CARP-001-C,0.25,0.0977,0.14,DP
073123-CARP-002-A,0.13,0.135,0.18,DP
073123-CARP-002-B,0.11,0.1469,0.17,DP
073123-CARP-002-C,0.14,0.1443,0.16,DP
073123-CARP-003-A,0.2,0.1013,0.1,DP
073123-CARP-003-B,0.19,0.13617,0.1,DP
073123-CARP-003-C,1.58,0.1035,0.1,DP
073123-CARP-004-A,1.42,0.1319,0.13,DP
073123-CARP-004-B,1.84,0.1041,0.17,DP
073123-CARP-005-A,1.89,0.95,1.38,GR
073123-CARP-005-B,1.51,1.12,1.22,GR
073123-CARP-005-C,1.52,1.12,1.27,GR
073123-CARP-006-A,1.45,1.25,1.37,GR
073123-CARP-006-B,1.79,1.14,1.39,GR
073123-CARP-007-A,1.52,1.32,1.61,GR
