specimen_id,surf_i (cm),surf_h,surf_r
062723-MOHK-018-I,66,51.999,62.982
062723-MOHK-018-H,66,51.719,65.633
062723-MOHK-012-J,64.912,51.528,64.45
062723-MOHK-012-H,51.958,41.898,50.428
062723-MOHK-012-G,31.225,25.113,30.582
062723-MOHK-018-F,51.286,43.375,49.983
062723-MOHk-007-H,51.804,37.762,49.024
062723-MOHk-007-I,13.551,9.339,12.61
062723-MOHk-007-J,99.091,74.451,93.116
062723-MOHk-012-F,21.122,14.747,19.785
062723-MOHk-012-I,34.978,25.62,32.817
062723-MOHk-018-G,10.356,6.958,9.543
062723-MOHk-018-J,33.883,28.794,32.657
062723-MOHK-001-F,12.846,9.219,11.346
062723-MOHK-001-G,11.912,10.219,12.167
062723-MOHK-001-H,67.761,57.375,63.671
062723-MOHK-001-I,16.68,14.018,14.807
062723-MOHK-004-F,93.943,79.152,91.288
062723-MOHK-004-G,34.902,29.387,34.062
062723-MOHK-004-H,21.76,17.338,21.115
062723-MOHK-004-I,55.441,44.665,53.841
062723-MOHK-004-J,73.553,63.437,72.289
062723-MOHK-007-F,17.735,13.974,16.971
062723-MOHK-007-G,57.89,46.581,55.631
071123-NAPL-023-A,80.119,63.628,79.939
071123-NAPL-022-A,67.594,54.361,67.744
