specimen_id,surf_i,surf_h,surf_r,species,,,MAKE ALL PIXEL
062723-MOHK-018-H,66,51.719,65.633,EGME,,,240 = 1 cm
062723-MOHK-018-I,66,51.999,62.982,EGME,,,
062723-MOHK-012-J,64.912,51.528,64.45,EGME,,,
062723-MOHK-012-H,51.958,41.898,50.428,EGME,,,
062723-MOHK-012-G,31.225,25.113,30.582,EGME,,,
062723-MOHK-018-F,51.286,43.375,49.983,EGME,,,
071123-NAPL-023-A,51.804,37.762,49.024,CC,,,
071123-NAPL-022-A,13.551,9.339,12.61,CC,,,
062723-MOHK-007-H,99.091,74.451,93.116,EGME,,,
062723-MOHK-007-I,21.122,14.747,19.785,EGME,,,
062723-MOHK-007-J,34.978,25.62,32.817,EGME,,,
062723-MOHK-012-F,10.356,6.958,9.543,EGME,,,
062723-MOHK-012-I,33.883,28.794,32.657,EGME,,,
062723-MOHK-018-G,12.846,9.219,11.346,EGME,,,
062723-MOHK-018-J,11.912,10.219,12.167,EGME,,,
062723-MOHK-001-F,67.761,57.375,63.671,EGME,,,
062723-MOHK-001-G,16.68,14.018,14.807,EGME,,,
062723-MOHK-001-H,93.943,79.152,91.288,EGME,,,
062723-MOHK-001-I,34.902,29.387,34.062,EGME,,,
062723-MOHK-004-F,21.76,17.338,21.115,EGME,,,
062723-MOHK-004-G,55.441,44.665,53.841,EGME,,,
062723-MOHK-004-H,73.553,63.437,72.289,EGME,,,
062723-MOHK-004-I,17.735,13.974,16.971,EGME,,,
062723-MOHK-004-J,57.89,46.581,55.631,EGME,,,
062723-MOHK-007-F,80.119,63.628,79.939,EGME,,,
062723-MOHK-007-G,67.594,54.361,67.744,EGME,,,
071123-NAPL-022-B,118.112,71.014,105.144,CC,,,
071123-NAPL-023-B,63.154,39.579,60.651,CC,,,
071123-NAPL-023-CDE,91.725,60.959,91.644,CC,,,
071123-NAPL-024-D,135.352,106.379,139.071,CC,,,
071123-NAPL-024-E,120.779,72.276,113.107,CC,,,
071123-NAPL-024-Z,91.202,60.076,81.745,CC,,,
071123-NAPL-024-A,335.883,215.188,346.926,CC,,,
071123-NAPL-024-B,375.584,237.139,368.035,CC,,,
071123-NAPL-024-C,52.687,32.094,48.773,CC,,,
071123-NAPL-025-A,162.85,98.117,154.825,CC,,,
071123-NAPL-025-B,194.781,109.428,82.681,CC,,,
071123-NAPL-025-C,108.768,69.906,112.844,CC,,,
071123-NAPL-026-A,422.659,262.836,420.586,CC,,,
071123-NAPL-026-B,418.82,241.555,424.935,CC,,,
071123-NAPL-026-C,141.616,81.438,144.571,CC,,,
071123-NAPL-026-D,103.29,55.637,104.25,CC,,,
073123-CARP-010-A,71.549,35.344,59.542,DP,,,
073123-CARP-010-B,176.06,95.509,142.148,DP,,,
073123-CARP-010-C,44.327,24.969,39.286,DP,,,
073123-CARP-011-A,80.901,46.526,63.733,DP,,,
073123-CARP-011-B,91.238,52.206,70.82,DP,,,
073123-CARP-011-C,200.334,138.157,180.837,DP,,,
073123-CARP-001-A,32.835,16.777,26.771,DP,,,
073123-CARP-001-B,8.672,6.986,8.984,DP,,,
073123-CARP-001-C,22.497,13.068,16.231,DP,,,
073123-CARP-002-A,90.509,52.8,68.038,DP,,,
073123-CARP-002-B,181.873,133.048,137.089,DP,,,
073123-CARP-002-C,227.512,128.433,155.223,DP,,,
073123-CARP-003-A,44.068,20.38,33.768,DP,,,
073123-CARP-003-B,214.267,98.379,193.73,DP,,,
073123-CARP-003-C,144.672,84.326,138.335,DP,,,
073123-CARP-004-A,100.435,53.572,65.772,DP,,,
073123-CARP-005-A,50.821,39.981,46.992,GR,,,
073123-CARP-005-B,64.781,53.847,60.622,GR,,,
073123-CARP-005-C,40.533,31.381,39.06,GR,,,
073123-CARP-006-A,56.16,38.536,51.434,GR,,,
073123-CARP-006-B,96.55,64.823,90.847,GR,,,
073123-CARP-007-A,169.296,118.182,149.948,GR,,,
073123-CARP-008-A,116.41,83.265,100.786,GR,,,
073123-CARP-009-A,64.231,45.015,58.464,GR,,,
080723-MOHK-010-A,20.257,11.167,15.937,CYOS,,,
080723-MOHK-010-B,94.793,57.922,85.468,CYOS,,,
080723-MOHK-010-C,121.824,75.779,105.193,CYOS,,,
