specimen_id,height_i,height_h,height_r,species
062723-MOHK-018-H,23.7,21.2,22.7,EGME
062723-MOHK-018-I,26.2,23.5,25.5,EGME
062723-MOHK-012-J,22,21.2,22.3,EGME
062723-MOHK-012-H,28.8,26.5,28.3,EGME
062723-MOHK-012-G,12.7,12.4,12.6,EGME
062723-MOHK-018-F,21,19.2,20.3,EGME
071123-NAPL-023-A,16.5,15.6,16,CC
071123-NAPL-022-A,12.9,12.2,13.1,CC
062723-MOHK-007-H,21.8,20,21.4,EGME
062723-MOHK-007-I,8.7,8,8.7,EGME
062723-MOHK-007-J,36,30.2,36,EGME
062723-MOHK-012-F,11.9,10.6,11.4,EGME
062723-MOHK-012-I,16.6,15.34,16.2,EGME
062723-MOHK-018-G,8.5,8,8.2,EGME
062723-MOHK-018-J,13.6,12.5,13.6,EGME
062723-MOHK-001-F,9.2,6.9,7.5,EGME
062723-MOHK-001-G,7.6,8.6,9,EGME
062723-MOHK-001-H,22.1,20,21.5,EGME
062723-MOHK-001-I,9.3,8.7,7.9,EGME
062723-MOHK-004-F,28.4,26.5,27.9,EGME
062723-MOHK-004-G,16.9,15.3,16.6,EGME
062723-MOHK-004-H,11,10.1,11,EGME
062723-MOHK-004-I,22.1,20.2,21.6,EGME
062723-MOHK-004-J,21.7,20.3,21.2,EGME
062723-MOHK-007-F,11,10.3,10.8,EGME
062723-MOHK-007-G,21.7,20.4,21.6,EGME
071123-NAPL-022-B,16.8,14.1,,CC
071123-NAPL-023-B,13,10.7,,CC
071123-NAPL-023-CDE,16,13.4,,CC
071123-NAPL-024-D,29.4,24.9,,CC
071123-NAPL-024-E,20,17.9,,CC
071123-NAPL-024-Z,9.5,11.5,,CC
071123-NAPL-024-A,36.5,28.6,37,CC
071123-NAPL-024-B,33.3,25.1,33.5,CC
071123-NAPL-024-C,14.6,12.6,14.8,CC
071123-NAPL-025-A,22.6,18.6,22.9,CC
071123-NAPL-025-B,24.1,18.9,24.2,CC
071123-NAPL-025-C,20.5,17.2,20.5,CC
071123-NAPL-026-A,27.1,21.1,28.2,CC
071123-NAPL-026-B,24.5,19.1,24,CC
071123-NAPL-026-C,21.6,17.1,21.5,CC
071123-NAPL-026-D,13.6,10.9,12.8,CC
080723-MOHK-10-A,13.3,11.3,12.7,CYOS
080723-MOHK-010-B,27.3,24.6,26.2,CYOS
080723-MOHK-010-C,30.1,27.1,29.1,CYOS
080723-MOHK011-A,25.7,23.3,25.1,CYOS
080723-MOHK-11-B,46.9,24.1,46.5,CYOS
080723-MOHK-11-C,25.5,21.8,25.3,CYOS
080723-MOHK-12-A,35.9,31.9,35.2,CYOS
080723-MOHK-12-B,21.4,19.7,20.8,CYOS
080723-MOHK-12-C,46.4,26.8,44.9,CYOS
080723-MOHK-13-A,8.7,7,8.1,R
080723-MOHK-13-B,8,7.4,8,R
080723-MOHK-16-A,3.7,3.3,3.7,R
080723-MOHK-16-B,2.5,2.3,2.5,R
080723-MOHK-15-A,10.9,9.5,21.5,R
080723-MOHK-15-B,11.5,7.9,10.9,R
080723-MOHK-15-C,10.1,9.3,10,R
080723-MOHK-14-A,7.1,6.6,6.9,R
080723-MOHK-014-B,7.4,7,7.2,R
080723-MOHK-014-C,7.8,6.6,7.6,R
080723-MOHK-022-A,22.6,20,22.7,R
080723-MOHK-022-B,12.3,11,12.3,R
080723-MOHK-022-C,19.4,17.2,19.5,R
080723-MOHK-021-A,4.8,4.6,4.8,CO
080723-MOHK-021-B,9.7,9.5,9.5,CO
080723-MOHK-021-C,12.5,11.9,12.6,CO
080723-MOHK-020-A,15.8,15.1,15.5,CO
080723-MOHK-020-B,13,12.3,12.9,CO
080723-MOHK-020-C,15.2,13.2,15.3,CO
080723-MOHK-019-A,8.7,8.6,8.8,CO
080723-MOHK-019-B,7.3,7.1,7.4,CO
080723-MOHK-019-C,9.7,9.5,9.7,CO
080723-MOHK-018-A,7.5,7.2,7.2,CO
080723-MOHK-018-B,7.8,7.6,7.8,CO
080723-MOHK-018-C,6.7,6.7,6.8,CO
080723-MOHK-017-A,6.4,6.2,6.4,CO
080723-MOHK-017-B,6.3,4.5,4.7,CO
080723-MOHK-017-C,7.2,6.7,6.7,CO
